Ref;Val;PosX;PosY;Rot;Side
C7;100nF;125.871000;-59.944000;180.000000;bottom
C8;10uF;125.213000;-61.722000;0.000000;bottom
C17;100nF;115.824000;-88.392000;90.000000;bottom
C18;33pF;105.918000;-75.438000;180.000000;bottom
C20;10uF;113.529000;-85.598000;0.000000;bottom
C21;100nF;113.309400;-80.187800;0.000000;bottom
C23;15pF;104.394000;-62.738000;270.000000;bottom
C26;33pF;108.748500;-70.866000;180.000000;bottom
C28;1uF;125.335000;-56.896000;180.000000;bottom
C29;15pF;121.657000;-58.674000;0.000000;bottom
C30;1uF;116.473000;-68.072000;0.000000;bottom
C31;15pF;117.085000;-65.786000;180.000000;bottom
C32;1uF;113.538000;-74.309000;270.000000;bottom
D11;KPT-1608EC;123.331000;-67.056000;0.000000;bottom
IC2;PIC18F46J50-I_PT;122.466000;-80.368000;180.000000;bottom
L1;33nH;106.163000;-73.152000;180.000000;bottom
L4;33nH;109.719000;-68.834000;180.000000;bottom
L5;15nH;121.779000;-56.896000;180.000000;bottom
L6;15nH;118.110000;-63.754000;0.000000;bottom
R12;7,5k;121.412000;-51.317000;270.000000;bottom
R14;2,2k;122.165000;-54.610000;0.000000;bottom
R15;1.74kOhm;117.856000;-70.104000;0.000000;bottom
R16;7,5k;105.918000;-41.184500;270.000000;bottom
R17;2,2k;121.911000;-63.754000;0.000000;bottom
R20;240k;112.776000;-106.435000;90.000000;bottom
R22;240k;128.270000;-106.435000;90.000000;bottom
R24;240k;124.206000;-106.435000;90.000000;bottom
R26;240k;108.966000;-106.435000;90.000000;bottom
R27;240k;116.840000;-106.435000;90.000000;bottom
R30;240k;131.826000;-106.417000;90.000000;bottom
R31;240k;120.396000;-106.435000;90.000000;bottom
R35;10k;132.588000;-67.056000;270.000000;bottom
R39;5.1k;123.952000;-71.129000;270.000000;bottom
R40;5.1k;121.666000;-71.129000;270.000000;bottom
R48;0ohm;127.000000;-47.235000;90.000000;bottom
R49;0ohm;127.000000;-45.221000;270.000000;bottom
R55;1.74kOhm;125.730000;-72.390000;90.000000;bottom
C1;4,7uF;116.459000;-153.365200;0.000000;top
C2;10uF;130.911600;-54.813200;180.000000;top
C3;10uF;130.987800;-48.514000;180.000000;top
C4;100nF;127.508000;-144.639000;270.000000;top
C9;4,7uF;113.233200;-149.326600;270.000000;top
C11;470nF;133.807200;-143.814800;270.000000;top
C12;1uF;118.719600;-139.522200;90.000000;top
C13;1uF;105.638600;-118.668800;180.000000;top
C14;100nF;105.333800;-113.969800;0.000000;top
C15;100nF;123.444000;-139.420600;270.000000;top
C16;100nF;132.740400;-84.480400;270.000000;top
C19;1uF;104.394000;-64.375000;90.000000;top
C22;100nF;128.204000;-82.663000;90.000000;top
C24;1uF;106.172000;-64.375000;90.000000;top
C25;15pF;107.950000;-61.477000;270.000000;top
C27;1uF;108.853000;-70.866000;0.000000;top
D1;KPTR-3216SURCK;134.075500;-122.174000;180.000000;top
D2;KPTR-3216SURCK;134.075500;-124.968000;180.000000;top
D3;KPTR-3216SURCK;134.075500;-127.508000;180.000000;top
D4;KPTR-3216SURCK;134.075500;-130.048000;0.000000;top
D5;DIODE;129.032000;-89.028000;90.000000;top
D6;MAX40203AUK+T;122.194000;-147.762000;0.000000;top
D7;MAX40203AUK+T;127.838200;-150.291800;180.000000;top
D8;ESD5B_ESD;131.114800;-153.441400;270.000000;top
D9;KPTR-3216SURCK;117.892500;-67.056000;0.000000;top
D12;KPTR-3216SURCK;131.826000;-88.101500;90.000000;top
D13;KPTR-3216SURCK;108.000800;-150.545800;0.000000;top
D14;KPTR-3216SURCK;129.032000;-76.163500;270.000000;top
DS1;KCDA39-105;117.348000;-127.000000;180.000000;top
IC3;SIP32431DR3-T1GE3;121.056400;-139.471400;270.000000;top
IC4;SIP32431DR3-T1GE3;105.384600;-116.408200;0.000000;top
IC6;MAX17263LETD+;130.556000;-142.748000;0.000000;top
IC7;WT32i-A-AI6;125.836000;-82.466000;90.000000;top
